modelo;tipo_grade;N;execucao;voxel_size;nx;ny;nz;total;occupied;empty;density;t_vox;delta_rss_vox;octree_nodes;leaves_full;leaves_empty;max_depth;t_oct;delta_rss_oct;compression
Buda;Justa;50;3;3,0200;22;51;22;24684;4523;20161;0,1832;0,484;-0,21;20073;2985;14579;6;0,035;0,71;0,8132
Buda;Justa;50;4;3,0200;22;51;22;24684;4523;20161;0,1832;0,484;-0,21;20073;2985;14579;6;0,350;0,00;0,8132
Buda;Justa;50;5;3,0200;22;51;22;24684;4523;20161;0,1832;0,484;-0,21;20073;2985;14579;6;0,347;0,00;0,8132
Buda;Justa;50;6;3,0200;22;51;22;24684;4523;20161;0,1832;0,484;-0,21;20073;2985;14579;6;0,351;0,00;0,8132
Buda;Justa;50;7;3,0200;22;51;22;24684;4523;20161;0,1832;0,484;-0,21;20073;2985;14579;6;0,393;0,00;0,8132
Buda;Justa;50;8;3,0200;22;51;22;24684;4523;20161;0,1832;0,484;-0,21;20073;2985;14579;6;0,343;0,00;0,8132
Buda;Justa;50;9;3,0200;22;51;22;24684;4523;20161;0,1832;0,484;-0,21;20073;2985;14579;6;0,342;0,00;0,8132
Buda;Justa;50;10;3,0200;22;51;22;24684;4523;20161;0,1832;0,484;-0,21;20073;2985;14579;6;0,057;0,00;0,8132
Buda;Cubica;50;1;3,0200;50;50;50;125000;4516;120484;0,0361;0,484;-0,21;13977;3465;8765;6;0,018;0,00;0,1118
Buda;Cubica;50;2;3,0200;50;50;50;125000;4516;120484;0,0361;0,484;-0,21;13977;3465;8765;6;0,019;0,00;0,1118
Buda;Cubica;50;3;3,0200;50;50;50;125000;4516;120484;0,0361;0,484;-0,21;13977;3465;8765;6;0,018;0,00;0,1118
Buda;Cubica;50;4;3,0200;50;50;50;125000;4516;120484;0,0361;0,484;-0,21;13977;3465;8765;6;0,018;0,00;0,1118
Buda;Cubica;50;5;3,0200;50;50;50;125000;4516;120484;0,0361;0,484;-0,21;13977;3465;8765;6;0,018;0,00;0,1118
Buda;Cubica;50;6;3,0200;50;50;50;125000;4516;120484;0,0361;0,484;-0,21;13977;3465;8765;6;0,018;0,00;0,1118
Buda;Cubica;50;7;3,0200;50;50;50;125000;4516;120484;0,0361;0,484;-0,21;13977;3465;8765;6;0,018;0,00;0,1118
Buda;Cubica;50;8;3,0200;50;50;50;125000;4516;120484;0,0361;0,484;-0,21;13977;3465;8765;6;0,017;0,00;0,1118
Buda;Cubica;50;9;3,0200;50;50;50;125000;4516;120484;0,0361;0,484;-0,21;13977;3465;8765;6;0,023;0,00;0,1118
Buda;Cubica;50;10;3,0200;50;50;50;125000;4516;120484;0,0361;0,484;-0,21;13977;3465;8765;6;0,019;0,00;0,1118
Buda;Justa;100;1;1,5100;42;101;42;178164;18535;159629;0,1040;0,695;1,12;82193;12210;59709;7;1,901;15,65;0,4613
Buda;Justa;100;2;1,5100;42;101;42;178164;18535;159629;0,1040;0,695;1,12;82193;12210;59709;7;0,821;15,00;0,4613
Buda;Justa;100;3;1,5100;42;101;42;178164;18535;159629;0,1040;0,695;1,12;82193;12210;59709;7;0,177;14,00;0,4613
Buda;Justa;100;4;1,5100;42;101;42;178164;18535;159629;0,1040;0,695;1,12;82193;12210;59709;7;0,166;13,00;0,4613
Buda;Justa;100;5;1,5100;42;101;42;178164;18535;159629;0,1040;0,695;1,12;82193;12210;59709;7;0,171;12,00;0,4613
